mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3514288266499837,0.023326736392812443,0.07267292340596516,0.0019853706116792305,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.516754289298322,-0.46594645209921687,-0.4348277006610007,-0.4725094806861798,0.0337668129935512,20
0.6314353148142496,0.0060114679056550305,0.09708253542582194,0.005960559946991029,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5145435481280256,-0.4628243060162192,-0.4311574137144638,-0.46950842261956954,0.03436878345421939,10
0.1869176228841146,0.01118628429551412,0.05437962214152018,0.002292609686850522,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5032803041214975,-0.4748803952428703,-0.43259088401787144,-0.4702505277940798,0.02904393548966532,11
0.3080018361409505,0.009486586430459064,0.06179062525431315,0.004174958017475636,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5053618244578849,-0.4722238144172939,-0.43661974754432115,-0.47140179547316663,0.028069854185061915,15
0.6462933222452799,0.011637475124532979,0.09584991137186687,0.009113678532795717,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.506647820598575,-0.47099345119314573,-0.4341781550589068,-0.4706064756168759,0.02958688243608776,14
0.17269237836201987,0.009186667572838605,0.06137911478678385,0.0029919902428711203,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.49050398663204464,-0.47350724173633296,-0.4361419938483717,-0.4667177407389165,0.02270652707480776,7
0.32834259668986004,0.011571493164226796,0.06388235092163086,0.0072865174332605535,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48822863704209873,-0.46938940594073986,-0.4371539474368195,-0.46492399680655266,0.02108887366394368,1
0.5912474791208903,0.008209788477210087,0.09044361114501953,0.0056507267592340845,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49018454724959293,-0.47014120040316537,-0.43630087348947816,-0.46554220704741217,0.022236990644514183,4
0.18317516644795737,0.012368597908820432,0.05478088061014811,0.010892849865105789,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5233349315068487,-0.4640838075470948,-0.4414249619482504,-0.476281233667398,0.03453398018611829,27
0.3092787265777588,0.019987745532403844,0.05624556541442871,0.003114738027829457,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5139222602739726,-0.4696318972503885,-0.43986771580778417,-0.47447395777738177,0.0304258996211448,25
0.5866710344950358,0.025517957584051815,0.0959174633026123,0.002892915988897378,16,1,200,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5161559646118711,-0.4725884535175573,-0.43459763411246183,-0.47444735074729677,0.03332198416106867,24
0.16969513893127441,0.007469982111502344,0.04837608337402344,0.000977577657239192,16,3,50,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5030418186759967,-0.4748455405325265,-0.43386253551623377,-0.4705832982415856,0.02840267988100981,13
0.34532610575358075,0.01692998258064501,0.06296666463216145,0.005861212238349755,16,3,100,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5053406638300816,-0.47387144632004236,-0.4375883886509221,-0.47226683293368205,0.027683012674176232,17
0.6042264302571615,0.008551388719016277,0.061566829681396484,0.005068381821176168,16,3,200,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5066555015304337,-0.47320543893511274,-0.4373615286045743,-0.47240748969004026,0.02829477234650385,18
0.15343133608500162,0.006329438363424839,0.05577190717061361,0.004823771424858952,16,5,50,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4905039866320448,-0.474262364918058,-0.4361683621863353,-0.46697823791214604,0.022772555128999585,8
0.3118148644765218,0.003360874874268577,0.05225849151611328,0.002214030742682183,16,5,100,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4882286370420989,-0.46965889252053616,-0.4369303459531599,-0.46493929183859833,0.02120667568022062,2
0.4316064516703288,0.013704924947374205,0.04834246635437012,0.005239028530047644,16,5,200,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49018454724959293,-0.47034669383484595,-0.4367434981732199,-0.4657582464192196,0.02205715029735715,6
